"#","Product Name","Product Name En","Markets","Date","Farmgate Price","Wholesale Price","Retail Price","Province","District"
"76","Ibishyimbo/Mutiki","Ibishyimbo/Mutiki","gahoromani","Mon Jun 22 2026 11:56:29 GMT+0200 (South Africa Standard Time)","1050","1070","1100","",""
"77","Ibishyimbo Shyushya","Ibishyimbo Shyushya","gahoromani","Mon Jun 22 2026 11:56:29 GMT+0200 (South Africa Standard Time)","850","870","900","",""
"78","Ibishyimbo Kiryumukwe","Ibishyimbo Kiryumukwe","gahoromani","Mon Jun 22 2026 11:56:29 GMT+0200 (South Africa Standard Time)","1150","1170","1200","",""
"79","Ibishyimbo Ibinyarwanda","Ibishyimbo Ibinyarwanda","gahoromani","Mon Jun 22 2026 11:56:29 GMT+0200 (South Africa Standard Time)","750","770","800","",""
"80","Ibigori","Ibigori","gahoromani","Mon Jun 22 2026 11:56:29 GMT+0200 (South Africa Standard Time)","500","530","550","",""
"81","Ibinyomoro","Ibinyomoro","gahoromani","Mon Jun 22 2026 11:56:29 GMT+0200 (South Africa Standard Time)","1300","1400","1500","",""
"82","Avoka","Avoka","gahoromani","Mon Jun 22 2026 11:56:29 GMT+0200 (South Africa Standard Time)","600","700","800","",""
"83","Amatunda","Amatunda","gahoromani","Mon Jun 22 2026 11:56:29 GMT+0200 (South Africa Standard Time)","1800","1900","2000","",""
"84","Amacunga","Amacunga","gahoromani","Mon Jun 22 2026 11:56:29 GMT+0200 (South Africa Standard Time)","700","800","900","",""
"85","Ibirayi- Kinigi Grade 2","Ibirayi- Kinigi Grade 2","kicukiro-center","Mon Jun 22 2026 11:58:44 GMT+0200 (South Africa Standard Time)","450","850","900","",""
"86","Ibishyimbo/Mutiki","Ibishyimbo/Mutiki","kicukiro-center","Mon Jun 22 2026 11:37:41 GMT+0200 (South Africa Standard Time)","850","1150","1200","",""
"87","Ibishyimbo Shyushya","Ibishyimbo Shyushya","kicukiro-center","Mon Jun 22 2026 11:37:41 GMT+0200 (South Africa Standard Time)","750","1050","1100","",""
"88","Ibishyimbo Colta","Ibishyimbo Colta","kicukiro-center","Mon Jun 22 2026 11:37:41 GMT+0200 (South Africa Standard Time)","950","1350","1400","",""
"89","Inyama-inka- Iroti","Inyama-inka- Iroti","kicukiro-center","Mon Jun 22 2026 11:37:41 GMT+0200 (South Africa Standard Time)","7500","8500","9000","",""
"90","inyama-inka-imvange","inyama-inka-imvange","kicukiro-center","Mon Jun 22 2026 11:37:41 GMT+0200 (South Africa Standard Time)","6000","6500","7000","",""
"91","Inyama - Inkoko - rwanda","Inyama - Inkoko - rwanda","kicukiro-center","Mon Jun 22 2026 11:37:41 GMT+0200 (South Africa Standard Time)","5500","6000","6500","",""
"92","inyama - inkoko - pondezi","inyama - inkoko - pondezi","kicukiro-center","Mon Jun 22 2026 11:37:41 GMT+0200 (South Africa Standard Time)","3500","4500","5000","",""
"93","Ifu - Ibigori - Mugurusu","Ifu - Ibigori - Mugurusu","kicukiro-center","Mon Jun 22 2026 11:37:41 GMT+0200 (South Africa Standard Time)","800","1000","1200","",""
"94","Umuceri - RW - Kigori","Umuceri - RW - Kigori","kicukiro-center","Mon Jun 22 2026 11:31:23 GMT+0200 (South Africa Standard Time)","850","1150","1250","",""
"95","igi - irinyaRwanda","igi - irinyaRwanda","kicukiro-center","Mon Jun 22 2026 11:31:23 GMT+0200 (South Africa Standard Time)","180","200","250","",""
"96","Igi- Pondeze","Igi- Pondeze","kicukiro-center","Mon Jun 22 2026 11:31:23 GMT+0200 (South Africa Standard Time)","100","150","180","",""
"97","Umuceri - Tz No 2","Umuceri - Tz No 2","kicukiro-center","Mon Jun 22 2026 11:23:05 GMT+0200 (South Africa Standard Time)","1400","1600","1800","",""
"98","ibirayi - Kirundo","ibirayi - Kirundo","kicukiro-center","Mon Jun 22 2026 11:23:05 GMT+0200 (South Africa Standard Time)","380","650","700","",""
"99","IFI - Tilapia","IFI - Tilapia","kicukiro-center","Mon Jun 22 2026 11:23:05 GMT+0200 (South Africa Standard Time)","4500","5500","6000","",""
"100","Pome","Pome","kibuye","Mon Jun 22 2026 11:59:32 GMT+0200 (South Africa Standard Time)","6000","6500","7000","",""
"101","Inyama-ihene","Inyama-ihene","karenge","Mon Jun 22 2026 10:22:06 GMT+0200 (South Africa Standard Time)","7000","7500","8000","",""
"102","Amavuta ubuto","Amavuta ubuto","karambi","Mon Jun 22 2026 10:47:35 GMT+0200 (South Africa Standard Time)","2800","2900","3000","",""
"103","Isombe","Isombe","karenge","Mon Jun 22 2026 10:22:06 GMT+0200 (South Africa Standard Time)","600","650","700","",""
"104","Umuceri - RW - Kigori","Umuceri - RW - Kigori","karambi","Mon Jun 22 2026 10:47:35 GMT+0200 (South Africa Standard Time)","1020","1060","1200","",""
"105","Amakara","Amakara","karenge","Mon Jun 22 2026 10:22:06 GMT+0200 (South Africa Standard Time)","14500","15000","16000","",""
"106","Umuceri - Tz No 2","Umuceri - Tz No 2","karambi","Mon Jun 22 2026 10:47:35 GMT+0200 (South Africa Standard Time)","1220","1260","1400","",""
"107","Ifu-amasaka","Ifu-amasaka","karenge","Mon Jun 22 2026 10:22:06 GMT+0200 (South Africa Standard Time)","1000","1100","1200","",""
"108","Ibishyimbo/Mutiki","Ibishyimbo/Mutiki","karenge","Mon Jun 22 2026 10:22:06 GMT+0200 (South Africa Standard Time)","900","950","1000","",""
"109","Ibishyimbo Shyushya","Ibishyimbo Shyushya","karenge","Mon Jun 22 2026 10:22:06 GMT+0200 (South Africa Standard Time)","900","950","1000","",""
"110","Ibishyimbo Ibinyarwanda","Ibishyimbo Ibinyarwanda","karenge","Mon Jun 22 2026 10:22:06 GMT+0200 (South Africa Standard Time)","800","850","900","",""
"111","Ibishyimbo Kiryumukwe","Ibishyimbo Kiryumukwe","karenge","Mon Jun 22 2026 10:22:06 GMT+0200 (South Africa Standard Time)","800","850","900","",""
"112","Igi- Pondeze","Igi- Pondeze","karambi","Mon Jun 22 2026 10:45:04 GMT+0200 (South Africa Standard Time)","150","180","200","",""
"113","Ibirayi - Kuruseke","Ibirayi - Kuruseke","karenge","Mon Jun 22 2026 10:22:06 GMT+0200 (South Africa Standard Time)","500","550","600","",""
"114","Ifi- Indagara-umunyu","Ifi- Indagara-umunyu","karenge","Mon Jun 22 2026 10:22:06 GMT+0200 (South Africa Standard Time)","3500","4000","4500","",""
"115","Inyama-inka- Iroti","Inyama-inka- Iroti","karenge","Mon Jun 22 2026 10:22:06 GMT+0200 (South Africa Standard Time)","7500","8000","8500","",""
"116","inyama-inka-imvange","inyama-inka-imvange","karenge","Mon Jun 22 2026 10:22:06 GMT+0200 (South Africa Standard Time)","6000","6500","7000","",""
"117","inyama - inkoko - pondezi","inyama - inkoko - pondezi","karenge","Mon Jun 22 2026 10:22:06 GMT+0200 (South Africa Standard Time)","4000","4500","5000","",""
"118","Ifu - Ibigori - Mugurusu","Ifu - Ibigori - Mugurusu","karenge","Mon Jun 22 2026 10:22:06 GMT+0200 (South Africa Standard Time)","1020","1150","1200","",""
"119","Ifu - Ibigori - MINIMEX","Ifu - Ibigori - MINIMEX","karenge","Mon Jun 22 2026 10:22:06 GMT+0200 (South Africa Standard Time)","850","880","1000","",""
"120","igi - irinyaRwanda","igi - irinyaRwanda","karenge","Mon Jun 22 2026 10:22:06 GMT+0200 (South Africa Standard Time)","200","230","250","",""
"121","Igi- Pondeze","Igi- Pondeze","karenge","Mon Jun 22 2026 10:22:06 GMT+0200 (South Africa Standard Time)","170","190","200","",""
"122","Umuceri - Tz No 2","Umuceri - Tz No 2","karenge","Mon Jun 22 2026 10:18:54 GMT+0200 (South Africa Standard Time)","1500","1600","1700","",""
"123","Umuceri - Tz No 2","Umuceri - Tz No 2","karenge","Mon Jun 22 2026 10:18:54 GMT+0200 (South Africa Standard Time)","1500","1600","1700","",""
"124","Amateke","Amateke","karenge","Mon Jun 22 2026 10:18:54 GMT+0200 (South Africa Standard Time)","280","300","350","",""
"125","ibirayi - Kirundo","ibirayi - Kirundo","karenge","Mon Jun 22 2026 10:06:48 GMT+0200 (South Africa Standard Time)","600","650","700","",""
"126","Isukari","Isukari","karenge","Mon Jun 22 2026 10:06:48 GMT+0200 (South Africa Standard Time)","1450","1500","1600","",""
"127","Amavuta ubuto","Amavuta ubuto","karenge","Mon Jun 22 2026 10:06:48 GMT+0200 (South Africa Standard Time)","2800","2900","3000","",""
"128","Amavuta - Amamesa","Amavuta - Amamesa","karenge","Mon Jun 22 2026 10:06:48 GMT+0200 (South Africa Standard Time)","3500","4000","4500","",""
"129","Gaz","Gaz","karenge","Mon Jun 22 2026 10:06:48 GMT+0200 (South Africa Standard Time)","2200","2300","2500","",""
"130","Ibiryo amatungo Layer Starter Mash","Ibiryo amatungo Layer Starter Mash","karenge","Mon Jun 22 2026 09:59:15 GMT+0200 (South Africa Standard Time)","850","900","950","",""
"131","Ibiryo amatungo Layer Grow Mash","Ibiryo amatungo Layer Grow Mash","karenge","Mon Jun 22 2026 09:59:15 GMT+0200 (South Africa Standard Time)","750","800","850","",""
"132","Ibiryo by'amatungo Maize Bran","Ibiryo by'amatungo Maize Bran","karenge","Mon Jun 22 2026 09:59:15 GMT+0200 (South Africa Standard Time)","320","350","400","",""
"133","Ibiryo amatungo Pig finisher feed","Ibiryo amatungo Pig finisher feed","karenge","Mon Jun 22 2026 09:59:15 GMT+0200 (South Africa Standard Time)","680","750","800","",""
"134","Umuceri Pakistani","Umuceri Pakistani","karenge","Mon Jun 22 2026 09:54:43 GMT+0200 (South Africa Standard Time)","1200","1250","1400","",""
"135","IFI - Tomson","IFI - Tomson","karenge","Mon Jun 22 2026 09:54:43 GMT+0200 (South Africa Standard Time)","2500","3000","3500","",""
"136","IFI - Tilapia","IFI - Tilapia","karenge","Mon Jun 22 2026 09:54:43 GMT+0200 (South Africa Standard Time)","4000","4500","5000","",""
